Month,Year,Medicine Name,Category,Dosage (mg/ml),Hospital Name,City,Supplier Name,Price per Unit (AED),Consumption (Units)
12,2022,4,3,1000,2,2,1,38.68,1984
8,2023,4,3,500,1,1,0,28.03,2469
4,2023,4,1,500,3,0,0,14.59,3100
5,2023,1,2,1000,0,2,0,2.11,4383
8,2022,1,1,250,3,3,3,38.34,4402
10,2023,1,3,250,3,0,3,37.65,1604
11,2023,1,1,5,2,0,3,5.07,2393
8,2022,2,1,250,3,2,1,4.21,1796
11,2023,0,3,10,0,1,2,33.14,4129
7,2022,3,2,5,1,0,3,20.49,3505
3,2023,0,0,250,0,2,3,19.57,3865
4,2023,0,4,1000,0,0,0,29.23,3653
6,2022,1,2,5,1,4,2,29.51,1941
12,2023,2,1,1000,3,4,1,29.28,434
2,2023,4,4,5,1,2,3,47.9,1619
3,2022,2,4,1000,0,2,2,29.44,978
12,2022,1,1,1000,3,3,3,39.15,4125
9,2022,2,4,1000,0,1,2,8.97,4153
3,2023,0,2,10,1,0,2,10.64,552
2,2023,4,3,1000,0,2,2,30.53,4396
1,2023,3,4,5,1,2,1,11.91,1220
5,2022,2,0,500,0,2,2,4.04,945
1,2023,0,1,1000,1,3,2,34.18,2455
7,2023,4,1,5,0,0,2,23.57,3215
6,2023,0,1,1000,2,3,0,22.07,2775
7,2022,0,1,10,0,0,3,20.71,3306
1,2022,0,1,5,0,3,3,23.0,4353
5,2023,2,0,1000,2,1,2,32.16,3797
12,2022,2,2,1000,2,1,3,31.17,446
10,2023,3,3,500,2,3,1,11.33,2281
7,2023,4,0,10,1,3,3,25.97,2184
5,2023,2,3,1000,1,3,1,46.5,3517
7,2022,3,4,5,0,3,0,40.44,4408
4,2022,0,3,10,1,3,1,20.53,2676
1,2023,4,3,10,0,4,1,24.16,642
5,2022,2,4,500,3,2,0,48.69,1227
8,2022,2,0,5,1,2,2,32.68,1873
2,2022,4,3,500,1,3,3,5.87,2128
4,2023,1,1,10,0,4,1,29.86,3917
4,2022,1,1,1000,3,3,0,8.67,151
9,2022,0,0,250,0,3,3,16.84,2925
2,2022,1,3,500,0,0,3,28.3,548
11,2023,4,2,10,3,2,2,41.44,3403
8,2023,4,4,1000,2,2,0,29.45,904
11,2022,4,4,500,1,0,2,39.91,109
1,2022,1,1,250,3,0,2,1.21,1929
7,2022,2,4,5,3,4,2,14.77,4461
6,2023,2,3,10,3,0,0,39.96,3870
10,2023,0,3,5,1,3,1,8.55,765
6,2023,2,0,500,1,4,3,8.63,2730
2,2023,1,1,1000,3,0,0,45.43,158
7,2023,4,0,1000,2,4,0,26.53,3113
11,2023,3,3,10,2,4,0,16.71,2215
12,2022,2,2,1000,3,4,3,25.37,3479
2,2023,2,0,10,0,1,0,17.33,2031
10,2023,1,1,250,0,3,1,39.17,3722
5,2023,3,2,5,3,0,1,15.59,3193
1,2023,1,3,1000,2,3,1,3.83,3573
